CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Estimated_Returns,Estimated_CO2_kg,TenureBucket,DistanceCategory
50044,0,11,Mobile,3,6,Debit Card,Female,2,4,Laptop & Accessory,2,Single,5,0,22,1,1,1,186.86,1.0,1.2,4-12 Mos,Close (0-10km)
50045,0,5,Mobile,1,12,Debit Card,Male,3,3,Mobile,3,Single,4,0,20,0,1,4,130.38,1.0,1.2,4-12 Mos,Moderate (11-20km)
50046,0,0,Mobile,1,23,Cash on Delivery,Male,3,3,Mobile,4,Divorced,1,1,16,1,1,1,130.58,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50047,1,0,Computer,3,14,Cash on Delivery,Female,3,5,Mobile,5,Single,1,0,21,1,1,0,123.25,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50048,0,3,Computer,1,9,Credit Card,Male,1,3,Mobile,4,Single,5,0,12,4,7,2,120.88,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50049,0,3,Computer,1,15,Credit Card,Male,3,3,Laptop & Accessory,5,Married,2,0,11,0,6,10,130.72,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50050,0,18,Mobile,3,10,Debit Card,Female,1,3,Laptop & Accessory,5,Married,5,1,11,0,1,3,150.06,1.0,1.2,1-5 Yrs,Close (0-10km)
50051,0,29,Mobile,1,14,Debit Card,Female,3,3,Mobile,5,Married,5,1,18,1,2,2,142.57,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50052,0,6,Mobile,1,13,Debit Card,Male,2,3,Mobile,2,Single,1,0,14,0,1,2,125.0,1.0,1.2,4-12 Mos,Moderate (11-20km)
50053,1,0,Mobile,1,8,Debit Card,Male,2,4,Mobile,2,Single,2,0,22,0,1,0,111.02000000000001,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50054,0,19,Mobile,3,6,E wallet,Female,3,3,Fashion,5,Married,2,0,25,4,15,7,204.53,1.0,1.2,1-5 Yrs,Close (0-10km)
50055,0,3,Mobile,1,15,Debit Card,Female,3,3,Mobile,2,Single,2,0,12,1,2,1,122.88,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50056,0,4,Mobile,1,18,Credit Card,Female,3,3,Mobile,2,Divorced,9,1,23,1,1,2,139.29,1.0,1.2,4-12 Mos,Moderate (11-20km)
50057,0,3,Mobile,1,33,Credit Card,Female,3,3,Mobile,4,Single,3,0,15,1,1,2,123.11000000000001,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50058,1,4,Mobile,3,26,E wallet,Female,3,3,Mobile,4,Single,2,1,22,0,1,2,131.4,1.0,1.2,4-12 Mos,Far (21-50km)
50059,0,23,Mobile,1,6,Credit Card,Male,2,4,Mobile,3,Divorced,3,0,15,0,1,2,136.9,1.0,1.2,1-5 Yrs,Close (0-10km)
50060,0,26,Mobile,1,19,Credit Card,Female,2,2,Laptop & Accessory,5,Married,2,0,11,1,1,3,144.5,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50061,0,6,Mobile,1,20,Credit Card,Female,3,3,Mobile,4,Divorced,2,0,13,0,1,6,127.56,1.0,1.2,4-12 Mos,Moderate (11-20km)
50062,0,13,Mobile,1,10,Credit Card,Female,2,3,Others,3,Divorced,2,0,14,1,9,9,290.33,1.0,1.2,1-5 Yrs,Close (0-10km)
50063,0,28,Mobile,1,20,Credit Card,Male,3,2,Others,4,Single,9,0,11,1,2,15,287.22,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50064,0,7,Computer,1,8,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced,2,0,17,0,1,9,195.47,1.0,1.2,4-12 Mos,Close (0-10km)
50065,0,24,Mobile,1,9,Credit Card,Female,3,3,Grocery,4,Single,4,0,18,0,4,0,237.33999999999997,1.0,1.2,1-5 Yrs,Close (0-10km)
50066,0,25,Mobile,1,6,Debit Card,Male,3,4,Others,3,Divorced,1,0,15,1,11,9,299.99,1.0,1.2,1-5 Yrs,Close (0-10km)
50067,0,3,Mobile,1,15,Credit Card,Female,2,3,Mobile,4,Single,2,0,16,1,1,3,122.78999999999999,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50068,1,0,Mobile,1,29,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced,4,1,13,1,1,1,159.16,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50069,0,3,Computer,1,13,Credit Card,Male,2,2,Mobile,2,Married,5,0,14,0,2,2,120.88999999999999,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50070,0,18,Computer,1,8,Credit Card,Male,3,4,Grocery,2,Divorced,10,0,23,1,11,8,267.92,1.0,1.2,1-5 Yrs,Close (0-10km)
50071,0,10,Mobile,1,27,Debit Card,Male,3,2,Mobile,5,Divorced,2,1,12,0,1,7,135.64,1.0,1.2,4-12 Mos,Far (21-50km)
50072,0,8,Computer,1,8,Credit Card,Female,2,3,Laptop & Accessory,4,Single,6,0,11,1,1,2,144.25,1.0,1.2,4-12 Mos,Close (0-10km)
50073,0,15,Computer,1,27,Credit Card,Female,2,3,Laptop & Accessory,3,Married,3,0,16,0,1,2,152.65,1.0,1.2,1-5 Yrs,Far (21-50km)
50074,0,11,Mobile,1,8,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,10,0,14,0,1,0,165.53,1.0,1.2,4-12 Mos,Close (0-10km)
50075,0,11,Mobile,1,35,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,0,18,0,1,7,162.61,1.0,1.2,4-12 Mos,Far (21-50km)
50076,0,0,Computer,1,6,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Divorced,6,0,19,0,2,0,142.98,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50077,0,22,Computer,1,24,Debit Card,Male,3,3,Laptop & Accessory,2,Married,2,1,15,0,1,7,168.04,1.0,1.2,1-5 Yrs,Far (21-50km)
50078,0,7,Computer,1,16,Credit Card,Male,2,3,Mobile,3,Married,2,1,17,2,2,0,138.15,1.0,1.2,4-12 Mos,Moderate (11-20km)
50079,0,13,Mobile,1,25,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,9,1,15,1,3,7,127.41,1.0,1.2,1-5 Yrs,Far (21-50km)
50080,1,1,Mobile,1,35,Credit Card,Male,3,3,Laptop & Accessory,5,Divorced,8,1,19,0,1,0,166.73,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50081,1,0,Mobile,3,33,E wallet,Female,2,3,Fashion,2,Divorced,2,0,22,1,1,9,176.39,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50082,0,0,Mobile,1,13,Debit Card,Male,2,2,Mobile,4,Married,2,1,16,0,2,2,123.28,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50083,0,3,Computer,1,24,Credit Card,Female,3,3,Mobile,2,Single,2,0,13,1,1,7,121.53,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50084,0,13,Computer,1,15,Debit Card,Male,3,4,Laptop & Accessory,2,Divorced,10,0,14,1,1,2,148.76,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50085,0,19,Mobile,1,6,Credit Card,Male,3,3,Fashion,5,Married,8,0,16,0,1,3,193.96,1.0,1.2,1-5 Yrs,Close (0-10km)
50086,1,0,Mobile,3,10,Credit Card,Male,2,5,Fashion,2,Divorced,2,0,11,7,9,8,204.0,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50087,0,3,Computer,1,6,Debit Card,Male,2,4,Fashion,3,Single,2,0,22,2,5,8,184.74,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50088,0,0,Computer,3,26,Debit Card,Female,2,3,Laptop & Accessory,3,Single,2,0,14,1,1,7,199.81,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50089,0,24,Mobile,1,14,Debit Card,Male,2,4,Fashion,4,Divorced,6,0,16,1,4,3,224.89999999999998,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50090,1,0,Mobile,1,13,Cash on Delivery,Female,2,3,Mobile,5,Single,6,1,11,1,1,4,126.57,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50091,0,14,Mobile,3,12,Debit Card,Female,3,3,Fashion,2,Single,4,1,18,0,2,0,235.91000000000003,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50092,1,0,Computer,3,32,E wallet,Female,2,4,Laptop & Accessory,5,Single,6,0,15,0,1,1,166.96,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50093,1,3,Mobile,1,6,Cash on Delivery,Male,2,3,Mobile,3,Single,1,0,14,0,1,5,120.58000000000001,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50094,0,18,Computer,3,12,Credit Card,Female,2,4,Fashion,2,Single,7,0,12,12,12,8,188.65,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50095,0,27,Mobile,3,9,E wallet,Female,2,3,Laptop & Accessory,5,Divorced,3,0,14,1,1,5,159.4,1.0,1.2,1-5 Yrs,Close (0-10km)
50096,0,9,Mobile,1,11,Debit Card,Male,3,3,Laptop & Accessory,4,Single,9,0,16,0,3,7,159.14,1.0,1.2,4-12 Mos,Moderate (11-20km)
50097,0,6,Mobile,1,13,Credit Card,Female,2,4,Mobile,4,Divorced,7,0,21,0,1,1,126.22,1.0,1.2,4-12 Mos,Moderate (11-20km)
50098,0,10,Computer,1,17,UPI,Male,2,3,Fashion,2,Married,2,1,14,0,1,3,221.85000000000002,1.0,1.2,4-12 Mos,Moderate (11-20km)
50099,0,11,Mobile,3,9,Debit Card,Male,3,3,Fashion,3,Married,1,0,12,1,5,13,206.08999999999997,1.0,1.2,4-12 Mos,Close (0-10km)
50100,0,4,Computer,1,6,Credit Card,Male,2,5,Laptop & Accessory,3,Divorced,1,0,12,1,1,4,143.45,1.0,1.2,4-12 Mos,Close (0-10km)
50101,0,3,Mobile,1,9,Debit Card,Male,3,4,Mobile,2,Divorced,4,0,17,0,1,0,121.77000000000001,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50102,0,10,Computer,3,10,E wallet,Male,2,3,Mobile,2,Married,5,0,17,1,5,8,0.0,1.0,1.2,4-12 Mos,Close (0-10km)
50103,0,2,Computer,3,6,Credit Card,Female,2,3,Fashion,2,Divorced,2,0,14,4,4,1,179.18,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50104,0,8,Computer,3,6,E wallet,Female,3,3,Fashion,3,Single,2,0,14,1,1,8,187.89,1.0,1.2,4-12 Mos,Close (0-10km)
50105,1,0,Mobile,1,13,Credit Card,Male,2,4,Mobile,2,Single,2,1,13,0,1,1,123.88999999999999,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50106,0,25,Mobile,1,8,Debit Card,Female,2,4,Mobile,2,Single,8,0,15,0,2,2,132.12,1.0,1.2,1-5 Yrs,Close (0-10km)
50107,0,15,Mobile,1,10,Cash on Delivery,Male,2,3,Others,2,Divorced,2,0,15,0,11,15,292.32,1.0,1.2,1-5 Yrs,Close (0-10km)
50108,0,3,Mobile,2,12,Credit Card,Male,2,3,Mobile,3,Divorced,9,0,17,2,2,2,122.66999999999999,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50109,0,23,Mobile,3,6,Credit Card,Female,3,3,Others,2,Married,4,0,15,1,1,6,295.17,1.0,1.2,1-5 Yrs,Close (0-10km)
50110,1,0,Mobile,1,13,Credit Card,Male,2,3,Mobile,2,Divorced,6,1,13,0,1,4,124.36000000000001,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50111,0,16,Mobile,3,22,E wallet,Female,3,3,Grocery,2,Divorced,6,1,22,0,4,9,260.64,1.0,1.2,1-5 Yrs,Far (21-50km)
50112,1,0,Mobile,1,8,Debit Card,Female,3,3,Mobile,5,Divorced,8,0,20,1,1,7,127.07,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50113,0,25,Computer,3,8,Debit Card,Male,3,4,Others,3,Single,2,1,18,1,15,12,290.68,3.0,3.5999999999999996,1-5 Yrs,Close (0-10km)
50114,0,5,Mobile,3,10,Debit Card,Female,2,3,Mobile,4,Divorced,3,0,11,1,1,2,139.31,1.0,1.2,4-12 Mos,Close (0-10km)
50115,1,0,Mobile,1,6,Debit Card,Male,3,4,Mobile,3,Single,1,1,14,1,1,2,137.3,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50116,0,3,Mobile,1,6,Credit Card,Female,3,3,Mobile,3,Married,8,0,14,0,1,2,122.32,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50117,0,5,Computer,3,32,E wallet,Male,3,3,Laptop & Accessory,2,Divorced,1,0,18,1,2,2,144.65,1.0,1.2,4-12 Mos,Far (21-50km)
50118,0,14,Mobile,1,25,Debit Card,Male,3,3,Laptop & Accessory,5,Married,3,0,16,1,1,0,130.72,1.0,1.2,1-5 Yrs,Far (21-50km)
50119,0,13,Mobile,1,30,Cash on Delivery,Male,3,3,Laptop & Accessory,2,Married,2,0,17,2,4,7,133.19,1.0,1.2,1-5 Yrs,Far (21-50km)
50120,0,18,Mobile,1,6,UPI,Male,3,2,Others,2,Divorced,1,0,15,1,1,7,292.02,1.0,1.2,1-5 Yrs,Close (0-10km)
50121,0,4,Computer,1,9,Credit Card,Male,3,3,Fashion,3,Married,10,0,12,1,2,2,236.75,1.0,1.2,4-12 Mos,Close (0-10km)
50122,0,6,Mobile,1,11,Debit Card,Female,3,4,Mobile,2,Divorced,2,0,13,0,1,2,129.11,1.0,1.2,4-12 Mos,Moderate (11-20km)
50123,0,7,Mobile,1,8,Debit Card,Male,2,4,Laptop & Accessory,5,Divorced,7,0,13,0,5,9,159.57,1.0,1.2,4-12 Mos,Close (0-10km)
50124,0,10,Mobile,1,6,Credit Card,Female,2,4,Mobile,5,Divorced,3,0,14,1,1,2,139.2,1.0,1.2,4-12 Mos,Close (0-10km)
50125,0,18,Computer,1,13,Debit Card,Male,3,2,Laptop & Accessory,3,Divorced,5,0,17,0,1,2,164.34,1.0,1.2,1-5 Yrs,Moderate (11-20km)
50126,1,0,Computer,1,16,Credit Card,Male,3,3,Fashion,3,Married,7,0,11,1,1,0,200.48,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50127,0,12,Computer,1,8,Cash on Delivery,Female,3,3,Fashion,3,Single,1,0,25,10,11,3,209.38,1.0,1.2,4-12 Mos,Close (0-10km)
50128,0,2,Mobile,1,13,Debit Card,Male,2,3,Mobile,2,Single,2,0,19,0,1,5,123.4,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50129,0,15,Mobile,1,23,Debit Card,Female,2,2,Laptop & Accessory,5,Single,4,1,13,0,1,2,165.45,1.0,1.2,1-5 Yrs,Far (21-50km)
50130,0,2,Mobile,3,26,E wallet,Male,2,3,Laptop & Accessory,2,Married,3,0,14,1,1,2,169.31,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50131,0,0,Mobile,1,6,Debit Card,Female,3,3,Laptop & Accessory,3,Divorced,1,0,12,1,1,2,148.98,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50132,0,15,Mobile,1,13,Credit Card,Female,2,4,Mobile,5,Married,1,1,11,4,7,8,125.93,2.0,2.4,1-5 Yrs,Moderate (11-20km)
50133,0,13,Mobile,1,8,Credit Card,Male,2,3,Others,3,Married,1,0,15,0,3,9,294.36,1.0,1.2,1-5 Yrs,Close (0-10km)
50134,0,24,Mobile,1,6,Debit Card,Male,3,3,Mobile,2,Divorced,2,0,11,1,1,0,127.22999999999999,1.0,1.2,1-5 Yrs,Close (0-10km)
50135,1,0,Computer,1,35,Credit Card,Male,3,4,Mobile,4,Single,1,0,11,1,1,4,134.79,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50136,0,5,Computer,1,13,Debit Card,Male,3,2,Mobile,4,Divorced,2,0,20,0,1,3,127.94,1.0,1.2,4-12 Mos,Moderate (11-20km)
50137,0,11,Computer,3,8,Debit Card,Male,2,4,Laptop & Accessory,2,Divorced,4,0,18,6,7,5,152.49,1.0,1.2,4-12 Mos,Close (0-10km)
50138,0,8,Mobile,1,8,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Single,5,0,13,0,1,4,121.75999999999999,1.0,1.2,4-12 Mos,Close (0-10km)
50139,0,19,Mobile,3,8,Cash on Delivery,Female,3,5,Grocery,4,Divorced,4,1,12,1,7,7,268.72,2.0,2.4,1-5 Yrs,Close (0-10km)
50140,1,0,Mobile,1,8,Debit Card,Male,3,3,Mobile,3,Single,3,0,11,1,1,0,134.85,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50141,0,2,Mobile,3,8,Credit Card,Male,3,4,Laptop & Accessory,4,Divorced,3,0,19,0,1,0,166.44,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50142,0,4,Mobile,1,29,Credit Card,Male,3,4,Laptop & Accessory,2,Divorced,1,0,21,1,7,8,155.82,1.0,1.2,4-12 Mos,Far (21-50km)
50143,0,0,Computer,1,11,Debit Card,Male,2,2,Laptop & Accessory,5,Married,2,0,12,1,1,5,140.0,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50144,0,18,Mobile,1,26,Credit Card,Male,3,3,Grocery,2,Divorced,1,1,14,0,4,10,234.95999999999998,1.0,1.2,1-5 Yrs,Far (21-50km)
50145,0,9,Mobile,1,12,Debit Card,Male,2,3,Mobile,2,Divorced,1,0,11,4,10,11,132.1,1.0,1.2,4-12 Mos,Moderate (11-20km)
50146,0,28,Mobile,1,6,Credit Card,Male,2,3,Others,5,Single,1,1,14,1,4,13,290.45,1.0,1.2,1-5 Yrs,Close (0-10km)
50147,1,10,Computer,1,35,Debit Card,Male,2,3,Fashion,4,Divorced,2,1,12,5,9,3,218.49,2.0,2.4,4-12 Mos,Far (21-50km)
50148,0,3,Mobile,1,15,Credit Card,Male,3,3,Mobile,2,Divorced,2,0,23,1,1,4,120.69999999999999,1.0,1.2,0-3 Mos (High Risk),Moderate (11-20km)
50149,0,10,Mobile,3,12,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,5,0,14,0,1,1,165.02,1.0,1.2,4-12 Mos,Moderate (11-20km)
50150,0,0,Mobile,1,9,Credit Card,Male,3,4,Mobile,3,Single,2,0,17,1,1,0,132.3,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50151,0,10,Computer,1,6,Credit Card,Female,0,3,Fashion,2,Married,3,1,18,0,2,2,236.02999999999997,1.0,1.2,4-12 Mos,Close (0-10km)
50152,0,2,Mobile,1,28,Debit Card,Female,3,2,Fashion,4,Married,8,0,18,5,6,3,219.95999999999998,1.0,1.2,0-3 Mos (High Risk),Far (21-50km)
50153,0,11,Mobile,3,13,Credit Card,Female,2,2,Laptop & Accessory,5,Married,2,1,24,0,7,7,156.05,2.0,2.4,4-12 Mos,Moderate (11-20km)
50154,0,0,Computer,1,6,Debit Card,Female,2,3,Laptop & Accessory,4,Married,2,0,20,0,1,4,163.97,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
50155,0,23,Mobile,1,10,Debit Card,Male,3,3,Others,4,Married,4,0,14,1,1,6,291.44,1.0,1.2,1-5 Yrs,Close (0-10km)
50156,0,26,Mobile,1,9,Credit Card,Male,2,3,Grocery,3,Divorced,4,1,16,1,1,3,275.84,1.0,1.2,1-5 Yrs,Close (0-10km)
50157,0,15,Mobile,3,6,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,2,0,25,4,11,6,149.07,1.0,1.2,1-5 Yrs,Close (0-10km)
50158,0,2,Computer,3,8,Debit Card,Male,2,3,Laptop & Accessory,2,Single,2,0,18,0,1,9,145.54,1.0,1.2,0-3 Mos (High Risk),Close (0-10km)
